VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,3/2/2016 14:46,3/2/2016 14:49,5,0.59,-73.97286224,40.75576782,1,N,-73.96904755,40.7503624,1,4.5,0.0,0.5,1.0,0.0,0.3,6.3
1,3/1/2016 18:56,3/1/2016 19:34,1,14.3,-73.97249603,40.75577927,1,N,-73.7684021,40.75588226,1,40.5,1.0,0.5,9.55,5.54,0.3,57.39
2,3/3/2016 10:46,3/3/2016 10:57,1,3.67,-73.9608078,40.75703049,1,N,-73.93681335,40.79907608,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8
2,3/1/2016 12:45,3/1/2016 13:06,1,5.2,-73.97814941,40.72948074,1,N,-73.9526825,40.78351974,1,19.5,0.0,0.5,4.06,0.0,0.3,24.36
1,3/2/2016 20:21,3/2/2016 20:25,1,0.9,-73.95973969,40.76315689,1,N,-73.95088196,40.77474976,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
2,3/2/2016 6:24,3/2/2016 6:29,2,1.46,-73.98629761,40.76712036,1,N,-73.99500275,40.75003052,1,6.5,0.0,0.5,1.46,0.0,0.3,8.76
1,3/2/2016 0:16,3/2/2016 0:20,2,1.0,-74.00041199,40.74258041,1,N,-74.00408936,40.75187683,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
1,3/1/2016 9:09,3/1/2016 9:12,1,0.4,-73.96522522,40.80590057,1,N,-73.9610672,40.81190872,1,4.0,0.0,0.5,0.95,0.0,0.3,5.75
2,3/10/2016 9:43,3/10/2016 9:49,5,0.77,-73.98539734,40.73583221,1,N,-73.99552917,40.73682022,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
1,3/2/2016 16:43,3/2/2016 17:04,1,2.9,-73.95859528,40.76422882,1,N,-73.97146606,40.79262924,2,14.5,1.0,0.5,0.0,0.0,0.3,16.3
1,3/1/2016 6:52,3/1/2016 7:01,1,2.2,-73.94600677,40.77709961,1,N,-73.96795654,40.76251602,1,9.0,0.0,0.5,1.95,0.0,0.3,11.75
1,3/1/2016 12:59,3/1/2016 13:11,1,1.4,-73.98929596,40.75030518,1,N,-73.99119568,40.74242783,1,9.5,0.0,0.5,2.55,0.0,0.3,12.85
2,3/1/2016 10:08,3/1/2016 10:46,1,2.77,-73.99211121,40.74011612,1,N,-73.96747589,40.76912308,1,22.5,0.0,0.5,8.0,0.0,0.3,31.3
2,3/1/2016 18:41,3/1/2016 18:52,5,1.27,-73.98313904,40.76781082,1,N,-73.97950745,40.78377151,2,8.5,1.0,0.5,0.0,0.0,0.3,10.3
1,3/2/2016 6:37,3/2/2016 6:46,1,2.2,-73.96852875,40.75469589,1,N,-73.99237061,40.735569,1,9.0,0.0,0.5,2.9,0.0,0.3,12.7
2,3/2/2016 21:15,3/2/2016 21:39,1,7.05,-73.97279358,40.75894165,1,N,-73.98968506,40.69112778,1,24.0,0.5,0.5,5.06,0.0,0.3,30.36
2,3/2/2016 21:08,3/2/2016 21:12,1,0.46,-73.99208069,40.72552109,1,N,-73.99045563,40.73068619,1,4.0,0.5,0.5,1.0,0.0,0.3,6.3
1,3/1/2016 22:53,3/1/2016 22:57,1,1.3,-73.9781189,40.75228882,1,N,-73.99443054,40.74844742,1,6.0,0.5,0.5,2.15,0.0,0.3,9.45
2,3/3/2016 11:04,3/3/2016 11:10,1,1.24,-74.00791168,40.72889709,1,N,-74.00831604,40.7443161,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,3/2/2016 19:35,3/2/2016 19:38,1,0.53,-73.9662323,40.76476288,1,N,-73.9613266,40.76675797,2,4.0,1.0,0.5,0.0,0.0,0.3,5.8
2,3/2/2016 18:41,3/2/2016 18:55,2,1.37,-73.98799133,40.74927139,1,N,-73.99633026,40.76255035,1,9.5,1.0,0.5,2.26,0.0,0.3,13.56
2,3/2/2016 19:27,3/2/2016 19:34,1,1.46,-73.95515442,40.78869247,1,N,-73.95571899,40.77364349,2,7.0,1.0,0.5,0.0,0.0,0.3,8.8
1,3/2/2016 14:24,3/2/2016 14:55,1,15.6,-74.01018524,40.7114563,3,N,-74.17716217,40.69501114,1,62.0,0.0,0.0,12.0,18.0,0.3,92.3
1,3/1/2016 14:45,3/1/2016 14:56,1,1.3,-73.99010468,40.74199295,1,N,-73.9857254,40.72781754,1,8.5,0.0,0.5,1.5,0.0,0.3,10.8
2,3/10/2016 14:50,3/10/2016 15:12,1,2.31,-73.99230194,40.75412369,1,N,-73.96220398,40.76229095,1,15.0,0.0,0.5,2.0,0.0,0.3,17.8
1,3/1/2016 19:37,3/1/2016 19:45,1,0.5,-74.00856781,40.72582245,1,N,-74.0066452,40.71994019,1,6.0,1.0,0.5,1.55,0.0,0.3,9.35
1,3/2/2016 17:35,3/2/2016 18:02,1,3.7,-73.98531342,40.74182129,1,N,-73.98249817,40.7824707,1,18.5,1.0,0.5,4.06,0.0,0.3,24.36
2,3/1/2016 13:38,3/1/2016 13:41,1,0.62,-74.0051651,40.73730469,1,N,-74.00341034,40.73236847,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36
2,3/2/2016 21:04,3/2/2016 21:09,1,0.9,-74.00164032,40.74419785,1,N,-73.99041748,40.73701859,1,5.5,0.5,0.5,0.0,0.0,0.3,6.8
1,3/1/2016 7:13,3/1/2016 7:15,1,0.4,-73.98219299,40.77534485,1,N,-73.98097992,40.78144836,1,3.5,0.0,0.5,1.25,0.0,0.3,5.55
2,3/1/2016 17:23,3/1/2016 17:44,1,8.16,-73.94934845,40.80259323,1,N,-73.9854126,40.71061707,2,24.0,1.0,0.5,0.0,0.0,0.3,25.8
1,3/2/2016 23:13,3/2/2016 23:34,1,9.3,-73.86321259,40.76995087,1,N,-73.9659729,40.79005432,1,27.5,0.5,0.5,6.86,5.54,0.3,41.2
1,3/1/2016 13:19,3/1/2016 13:22,1,0.4,-74.0144043,40.71749878,1,N,-74.00695038,40.71376801,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2,3/1/2016 22:32,3/1/2016 22:45,1,2.12,-73.98587799,40.76216507,1,N,-73.9790802,40.7411232,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76
2,3/1/2016 15:18,3/1/2016 15:29,1,2.26,-73.98684692,40.75554657,1,N,-74.00648499,40.73671341,1,10.0,0.0,0.5,2.16,0.0,0.3,12.96
1,3/1/2016 6:23,3/1/2016 6:46,1,12.2,-73.98327637,40.76477051,1,N,-73.8631134,40.76862717,2,35.5,0.0,0.5,0.0,5.54,0.3,41.84
1,3/1/2016 21:41,3/1/2016 21:57,1,3.3,-73.98226929,40.77288055,1,N,-73.99398041,40.73524094,1,13.5,1.0,0.5,1.5,0.0,0.3,16.8
